customer_id,churn_probability,risk_tier,annual_revenue
CUST-03262,0.5246142433791856,Medium Risk,613.4399999999999
CUST-04542,0.631986257194729,Medium Risk,404.52
CUST-03330,0.4119836845233858,Medium Risk,677.52
CUST-03795,0.3958583605722082,Low Risk,556.4399999999999
CUST-02969,0.39728791410760267,Low Risk,834.36
CUST-01890,0.6301816750764629,Medium Risk,1063.92
CUST-00147,0.16198558217375042,Low Risk,536.4000000000001
CUST-04874,0.5175561519991625,Medium Risk,1255.1999999999998
CUST-03801,0.19004229792962743,Low Risk,956.04
CUST-01031,0.6297400914963375,Medium Risk,846.96
CUST-01668,0.7575615367459182,High Risk,864.0
CUST-02958,0.7746022761270239,High Risk,943.56
CUST-03479,0.1498728768156113,Low Risk,486.59999999999997
CUST-02822,0.5730662963178336,Medium Risk,1440.0
CUST-04394,0.11945119696296363,Low Risk,789.96
CUST-04615,0.3237173073506704,Low Risk,1180.68
CUST-00725,0.26784678812185964,Low Risk,302.76
CUST-00702,0.672842324717454,Medium Risk,1005.5999999999999
CUST-01484,0.6405255889640217,Medium Risk,603.48
CUST-01261,0.13159148056526168,Low Risk,637.4399999999999
CUST-01923,0.35790940713213804,Low Risk,961.92
CUST-04639,0.222661439925506,Low Risk,538.3199999999999
CUST-02036,0.6806172117737799,Medium Risk,523.2
CUST-02832,0.6981277781516507,Medium Risk,915.8399999999999
CUST-03620,0.13938914786403284,Low Risk,692.28
CUST-03576,0.41744187906014363,Medium Risk,379.20000000000005
CUST-03962,0.6005396680137042,Medium Risk,418.32
CUST-03594,0.37739019522062955,Low Risk,996.72
CUST-01401,0.20402262786706135,Low Risk,386.52
CUST-04220,0.555282998455926,Medium Risk,507.48
CUST-03660,0.46782195744104027,Medium Risk,316.56
CUST-00192,0.23995333065001076,Low Risk,971.4000000000001
CUST-00021,0.6439057729320001,Medium Risk,387.0
CUST-00419,0.5904609090760381,Medium Risk,1440.0
CUST-02196,0.47745253919621744,Medium Risk,513.5999999999999
CUST-00505,0.6804636586292325,Medium Risk,822.96
CUST-00744,0.6483900256132138,Medium Risk,459.0
CUST-04892,0.19886774627974005,Low Risk,521.52
CUST-00391,0.43797145284133376,Medium Risk,758.28
CUST-00682,0.3175293180616417,Low Risk,322.32
CUST-00571,0.3695231546854798,Low Risk,730.3199999999999
CUST-03015,0.40396088123547524,Medium Risk,847.3199999999999
CUST-04880,0.6808044598064548,Medium Risk,1095.3600000000001
CUST-00408,0.24577794936100059,Low Risk,733.08
CUST-02422,0.4915469274835323,Medium Risk,926.1600000000001
CUST-01458,0.6469436375569524,Medium Risk,660.36
CUST-02336,0.7076270009097388,High Risk,813.0
CUST-01617,0.4448457965428501,Medium Risk,881.8799999999999
CUST-04297,0.42685873482701747,Medium Risk,455.64
CUST-04643,0.5877337972909351,Medium Risk,855.8399999999999
CUST-00789,0.3160074808994203,Low Risk,926.64
CUST-02018,0.803021310147965,High Risk,1314.6
CUST-03994,0.5962862839727111,Medium Risk,738.84
CUST-04106,0.09723023845848686,Low Risk,658.8
CUST-02458,0.6211866954376416,Medium Risk,666.5999999999999
CUST-01729,0.24460719608157586,Low Risk,654.72
CUST-03961,0.6086279599879719,Medium Risk,945.36
CUST-03928,0.44503586037745624,Medium Risk,743.52
CUST-01504,0.5737067825481675,Medium Risk,531.48
CUST-00176,0.150739931154112,Low Risk,681.72
CUST-00010,0.7380881124356972,High Risk,773.28
CUST-01637,0.28180194185361795,Low Risk,447.84000000000003
CUST-01527,0.30995789502282745,Low Risk,1061.52
CUST-00443,0.2333903777440535,Low Risk,548.16
CUST-01467,0.6247330764062337,Medium Risk,997.6800000000001
CUST-00282,0.5802122770512587,Medium Risk,813.36
CUST-00551,0.28517400058562087,Low Risk,232.32
CUST-04396,0.7406697002619933,High Risk,823.92
CUST-00095,0.719837737934291,High Risk,872.76
CUST-04871,0.7939923826519234,High Risk,775.3199999999999
CUST-04196,0.5875734125829764,Medium Risk,1027.1999999999998
CUST-01285,0.42779385942192394,Medium Risk,878.28
CUST-02089,0.6856846042237502,Medium Risk,660.12
CUST-02546,0.5397462730423818,Medium Risk,1265.4
CUST-01618,0.6011084720753697,Medium Risk,1440.0
CUST-04802,0.2153485583989884,Low Risk,1211.4
CUST-04925,0.8279975426806755,High Risk,1120.44
CUST-04487,0.666423481279261,Medium Risk,809.4000000000001
CUST-02783,0.4570685431191487,Medium Risk,1233.48
CUST-00086,0.40746263809655453,Medium Risk,739.5600000000001
CUST-01108,0.5097049477514685,Medium Risk,1120.08
CUST-02993,0.6668296270746694,Medium Risk,877.08
CUST-02767,0.708098443407236,High Risk,798.5999999999999
CUST-01836,0.6270654186666005,Medium Risk,1247.6399999999999
CUST-04391,0.18585359508338886,Low Risk,465.84000000000003
CUST-03139,0.6768563626168993,Medium Risk,719.88
CUST-03753,0.5714683025535346,Medium Risk,597.48
CUST-03078,0.5633998139774686,Medium Risk,340.56
CUST-01937,0.3212830049185443,Low Risk,705.72
CUST-04011,0.5753687564421919,Medium Risk,1359.24
CUST-03055,0.30193344508978415,Low Risk,1078.92
CUST-00375,0.5399775218355675,Medium Risk,1283.6399999999999
CUST-03566,0.25611577699510774,Low Risk,1033.1999999999998
CUST-00511,0.21377898279783855,Low Risk,951.5999999999999
CUST-00302,0.5529588639538074,Medium Risk,1131.84
CUST-02688,0.5865147719690339,Medium Risk,730.8
CUST-04907,0.5732457393693119,Medium Risk,528.48
CUST-03853,0.1893965290467962,Low Risk,776.64
CUST-04372,0.7083355598974593,High Risk,613.8
CUST-00906,0.33579529359264587,Low Risk,342.84000000000003
CUST-03112,0.19466834165364852,Low Risk,555.5999999999999
CUST-00879,0.6774055418396361,Medium Risk,1061.6399999999999
CUST-00629,0.6739008030547421,Medium Risk,629.28
CUST-03601,0.3053900944198457,Low Risk,775.1999999999999
CUST-04453,0.5019745075532835,Medium Risk,1158.48
CUST-00293,0.5628433773683831,Medium Risk,533.64
CUST-00050,0.27570124775789207,Low Risk,721.5600000000001
CUST-02848,0.5958206141459542,Medium Risk,659.88
CUST-01835,0.4122786385210989,Medium Risk,953.8799999999999
CUST-04703,0.17000641133860406,Low Risk,622.2
CUST-03043,0.3910938924835441,Low Risk,940.3199999999999
CUST-00431,0.5288159055690432,Medium Risk,1132.92
CUST-04051,0.4752918691506237,Medium Risk,744.48
CUST-00177,0.7784958973748158,High Risk,767.52
CUST-03913,0.22658709481241038,Low Risk,216.0
CUST-03102,0.25037190858453484,Low Risk,282.0
CUST-04812,0.6573869295335912,Medium Risk,515.28
CUST-01214,0.258800718940683,Low Risk,511.08000000000004
CUST-00300,0.40896991252928094,Medium Risk,739.3199999999999
CUST-00739,0.7827530884559255,High Risk,649.5600000000001
CUST-01722,0.4686485757160174,Medium Risk,1411.8000000000002
CUST-04635,0.27253124489068226,Low Risk,1059.3600000000001
CUST-02119,0.2281783052183205,Low Risk,884.76
CUST-00172,0.58672710400229,Medium Risk,749.76
CUST-00345,0.5917522401518215,Medium Risk,891.24
CUST-02582,0.5408832841925936,Medium Risk,523.8
CUST-00464,0.2416074577744566,Low Risk,641.52
CUST-00067,0.2938873341947097,Low Risk,696.36
CUST-04169,0.8373062465594142,High Risk,921.1200000000001
CUST-02888,0.3056594303463669,Low Risk,594.12
CUST-01491,0.7262141030668773,High Risk,901.1999999999999
CUST-04821,0.5599503868228023,Medium Risk,621.48
CUST-04472,0.34591006923076645,Low Risk,300.0
CUST-00535,0.11884032294829555,Low Risk,1070.52
CUST-01063,0.3558481043106321,Low Risk,588.24
CUST-01103,0.14539644573502636,Low Risk,216.0
CUST-01630,0.309759229552854,Low Risk,522.24
CUST-04324,0.26995571819086306,Low Risk,764.28
CUST-01646,0.2654584512693232,Low Risk,313.92
CUST-02381,0.1719385978743859,Low Risk,741.96
CUST-02692,0.7442936494275196,High Risk,1180.56
CUST-04483,0.35148470924784425,Low Risk,370.92
CUST-02376,0.5820510031625008,Medium Risk,381.48
CUST-02313,0.5467593831060301,Medium Risk,884.04
CUST-00110,0.5520935339369405,Medium Risk,1017.48
CUST-04195,0.7367287883003822,High Risk,1440.0
CUST-01726,0.5737124945075192,Medium Risk,622.5600000000001
CUST-04963,0.5444556618091089,Medium Risk,540.48
CUST-04533,0.3601581536207678,Low Risk,1082.76
CUST-00963,0.542216028567841,Medium Risk,1072.56
CUST-01589,0.44453781645081847,Medium Risk,1072.92
CUST-02118,0.46423179349827376,Medium Risk,520.08
CUST-01014,0.3406636930457086,Low Risk,527.04
CUST-03569,0.26033042352635805,Low Risk,585.48
CUST-01593,0.5295782710351346,Medium Risk,878.8799999999999
CUST-02327,0.5360569305150175,Medium Risk,632.88
CUST-04580,0.0929971440547269,Low Risk,387.48
CUST-03050,0.7039829268445825,High Risk,1048.8000000000002
CUST-01140,0.44129610208307135,Medium Risk,923.76
CUST-01730,0.5282255299744715,Medium Risk,248.64
CUST-00163,0.6395064932519726,Medium Risk,1293.72
CUST-04124,0.38754290290968996,Low Risk,857.8799999999999
CUST-01883,0.4001582293965952,Medium Risk,968.76
CUST-02063,0.35116210004256876,Low Risk,641.4000000000001
CUST-02159,0.2577059886799348,Low Risk,583.6800000000001
CUST-04791,0.3793523992786551,Low Risk,1406.16
CUST-00805,0.4238007697795698,Medium Risk,749.16
CUST-02420,0.6449732253108797,Medium Risk,1236.24
CUST-00708,0.5074788646631714,Medium Risk,569.04
CUST-04438,0.16971487723533193,Low Risk,949.8000000000001
CUST-04062,0.3792003534513388,Low Risk,1113.6
CUST-00364,0.20824827086328326,Low Risk,915.96
CUST-04383,0.5697969501867786,Medium Risk,518.76
CUST-04247,0.6854317555071016,Medium Risk,960.24
CUST-00080,0.3429615321409275,Low Risk,942.96
CUST-01561,0.7178660305609114,High Risk,1283.28
CUST-01377,0.1527988692316991,Low Risk,812.04
CUST-00671,0.22009240601420937,Low Risk,1003.8000000000001
CUST-03981,0.24465202990923965,Low Risk,597.96
CUST-04298,0.24539962314290406,Low Risk,1027.08
CUST-04439,0.6354242427099828,Medium Risk,1070.04
CUST-04965,0.3571923404761593,Low Risk,750.84
CUST-00914,0.3617737154037245,Low Risk,315.24
CUST-03800,0.4366855368188453,Medium Risk,688.08
CUST-02824,0.6612691986676429,Medium Risk,1153.92
CUST-04131,0.5769572208551155,Medium Risk,1030.1999999999998
CUST-03548,0.5379922992382522,Medium Risk,271.08
CUST-03152,0.5115398529083548,Medium Risk,448.56000000000006
CUST-02685,0.4260712302334009,Medium Risk,695.28
CUST-03678,0.3507045787462237,Low Risk,460.08000000000004
CUST-00600,0.6555140439277736,Medium Risk,565.2
CUST-00127,0.28340091132423195,Low Risk,216.0
CUST-01318,0.4743300108228705,Medium Risk,600.12
CUST-04957,0.263302171967298,Low Risk,966.24
CUST-04517,0.21206198978928567,Low Risk,1069.68
CUST-00242,0.26722550058743527,Low Risk,928.92
CUST-00570,0.3135954885110004,Low Risk,1315.32
CUST-03178,0.2837242966660474,Low Risk,555.84
CUST-04785,0.4079393211240903,Medium Risk,674.28
CUST-00440,0.637346742171948,Medium Risk,598.5600000000001
CUST-01581,0.24235641113470052,Low Risk,477.59999999999997
CUST-00390,0.25876422950840045,Low Risk,668.76
CUST-00632,0.5638152758476318,Medium Risk,242.04000000000002
CUST-03992,0.6414059394455396,Medium Risk,1027.8000000000002
CUST-00295,0.45775136939916367,Medium Risk,756.24
CUST-01256,0.5279659092460639,Medium Risk,627.48
CUST-01327,0.49667751828474954,Medium Risk,1171.92
CUST-01442,0.4419168517410403,Medium Risk,721.6800000000001
CUST-01992,0.5006548220562981,Medium Risk,912.5999999999999
CUST-04398,0.6453699138906075,Medium Risk,980.52
CUST-02406,0.4521537934856663,Medium Risk,405.0
CUST-04160,0.24555424229707606,Low Risk,524.64
CUST-01698,0.08782463949723861,Low Risk,562.5600000000001
CUST-00646,0.3573469401559214,Low Risk,875.1600000000001
CUST-02307,0.4698932531997143,Medium Risk,474.0
CUST-00065,0.4838841572709871,Medium Risk,1389.3600000000001
CUST-01812,0.7750339743888449,High Risk,1283.4
CUST-04109,0.424922135229792,Medium Risk,1110.24
CUST-04783,0.146646533703087,Low Risk,355.44
CUST-04460,0.289573542801485,Low Risk,575.28
CUST-03851,0.6139119587113306,Medium Risk,492.36
CUST-01092,0.5003945695983939,Medium Risk,530.4000000000001
CUST-04675,0.2563611026164263,Low Risk,1059.84
CUST-02192,0.41804195585438614,Medium Risk,655.08
CUST-02478,0.29056360713310636,Low Risk,679.5600000000001
CUST-03976,0.6728907712115183,Medium Risk,972.5999999999999
CUST-04909,0.6171428917254069,Medium Risk,782.8799999999999
CUST-03929,0.19181075723684227,Low Risk,522.0
CUST-00575,0.31542532329702766,Low Risk,987.0
CUST-01212,0.5752855872990702,Medium Risk,990.5999999999999
CUST-02395,0.7019967896215101,High Risk,1056.6
CUST-02256,0.6263934389468104,Medium Risk,883.44
CUST-01592,0.7837179802778749,High Risk,829.1999999999999
CUST-01398,0.5427121468852647,Medium Risk,1093.32
CUST-00982,0.24383230066204287,Low Risk,663.48
CUST-03956,0.1578335595676678,Low Risk,658.6800000000001
CUST-02125,0.4899106171441462,Medium Risk,884.4000000000001
CUST-04018,0.6864027869011028,Medium Risk,1085.6399999999999
CUST-03148,0.43104357141287863,Medium Risk,1096.56
CUST-02570,0.5851080703469275,Medium Risk,1215.24
CUST-04890,0.4143801465434137,Medium Risk,1020.48
CUST-01446,0.25415364048265726,Low Risk,1182.3600000000001
CUST-04823,0.6828014577797863,Medium Risk,839.1600000000001
CUST-01878,0.42253993747748014,Medium Risk,936.48
CUST-04596,0.28488167831341926,Low Risk,327.71999999999997
CUST-00138,0.38568240051939506,Low Risk,532.4399999999999
CUST-03727,0.657386544653969,Medium Risk,693.12
CUST-01863,0.42189244816846766,Medium Risk,1021.1999999999999
CUST-02642,0.34596960330270954,Low Risk,229.32
CUST-01110,0.14823402192124374,Low Risk,1069.56
CUST-01626,0.18435762444258985,Low Risk,442.68
CUST-01390,0.7666276468781005,High Risk,913.1999999999999
CUST-00812,0.45842638052712714,Medium Risk,943.92
CUST-00557,0.4960920770227721,Medium Risk,671.64
CUST-01939,0.5707837340595907,Medium Risk,437.15999999999997
CUST-00382,0.5377219090164731,Medium Risk,1169.52
CUST-03645,0.5533571317688989,Medium Risk,480.0
CUST-00271,0.33496997709570636,Low Risk,599.4000000000001
CUST-04633,0.1662401873831968,Low Risk,1262.8799999999999
CUST-03239,0.39059676658271725,Low Risk,975.1200000000001
CUST-01416,0.6202834399867883,Medium Risk,429.96
CUST-04105,0.5085567800337155,Medium Risk,767.52
CUST-04043,0.6155471316547062,Medium Risk,937.08
CUST-03032,0.4395905416893825,Medium Risk,520.4399999999999
CUST-02765,0.09688010594302708,Low Risk,581.88
CUST-00270,0.38587994385203156,Low Risk,1183.56
CUST-03878,0.4915381901287269,Medium Risk,507.12
CUST-00599,0.4546941635507513,Medium Risk,597.72
CUST-00891,0.1939513110765806,Low Risk,345.84000000000003
CUST-02267,0.5062501843806572,Medium Risk,660.0
CUST-01246,0.572609216690003,Medium Risk,989.52
CUST-02857,0.7309579920894781,High Risk,1146.1200000000001
CUST-04343,0.26493185999986385,Low Risk,604.3199999999999
CUST-00605,0.4951740880311741,Medium Risk,1241.4
CUST-00187,0.42417455623796535,Medium Risk,1034.04
CUST-03862,0.3744827454304522,Low Risk,877.92
CUST-01908,0.46429037540206725,Medium Risk,1086.48
CUST-01679,0.6094465002481985,Medium Risk,1185.24
CUST-02629,0.3306591049919977,Low Risk,216.0
CUST-03852,0.4906033726602763,Medium Risk,559.92
CUST-04355,0.36612853900522124,Low Risk,931.8000000000001
CUST-04084,0.6514362759558908,Medium Risk,489.72
CUST-03965,0.2208638554810582,Low Risk,421.08000000000004
CUST-00802,0.6271361509888151,Medium Risk,845.8799999999999
CUST-02908,0.6054392324313593,Medium Risk,794.28
CUST-01601,0.2939131076064239,Low Risk,462.84000000000003
CUST-04385,0.12151535287915934,Low Risk,840.36
CUST-03734,0.5296836543560889,Medium Risk,216.0
CUST-04516,0.47818825641103985,Medium Risk,646.08
CUST-04120,0.3224750784322486,Low Risk,1128.0
CUST-01213,0.4489422282390563,Medium Risk,1181.52
CUST-04862,0.5301373002742218,Medium Risk,888.24
CUST-04357,0.4666850759391673,Medium Risk,553.2
CUST-04582,0.3817929932004768,Low Risk,856.92
CUST-04861,0.3853300873233351,Low Risk,935.1600000000001
CUST-00909,0.7410707709989035,High Risk,724.5600000000001
CUST-03431,0.2520515279664126,Low Risk,1100.4
CUST-03315,0.48597233143712526,Medium Risk,477.48
CUST-02591,0.153620661988609,Low Risk,1122.0
CUST-04236,0.7179698155870479,High Risk,1285.56
CUST-01447,0.4916563825377932,Medium Risk,807.72
CUST-02974,0.6583758378012935,Medium Risk,720.0
CUST-01421,0.5599259852337785,Medium Risk,729.36
CUST-00830,0.576433999204072,Medium Risk,1183.44
CUST-03954,0.6665816660488361,Medium Risk,646.08
CUST-01887,0.5889708145016282,Medium Risk,603.96
CUST-01225,0.5249559405896811,Medium Risk,1254.0
CUST-01779,0.24097204435111588,Low Risk,1018.6800000000001
CUST-03610,0.5495079661508622,Medium Risk,755.4000000000001
CUST-04563,0.5962867196547833,Medium Risk,578.16
CUST-00356,0.7426181297172543,High Risk,748.6800000000001
CUST-03708,0.7155405623557087,High Risk,674.52
CUST-01094,0.5293020543262633,Medium Risk,439.32
CUST-04276,0.7078225186387016,High Risk,1160.16
CUST-01017,0.3710530642647589,Low Risk,725.4000000000001
CUST-03192,0.13597199330601542,Low Risk,483.0
CUST-03669,0.2382748642825164,Low Risk,1018.44
CUST-04146,0.680303485945589,Medium Risk,867.5999999999999
CUST-00294,0.4424316834521463,Medium Risk,1063.68
CUST-02809,0.38509527004383515,Low Risk,764.64
CUST-01636,0.2616569276775394,Low Risk,989.1600000000001
CUST-04269,0.19704335311858917,Low Risk,507.48
CUST-01201,0.7563741010946017,High Risk,769.08
CUST-03582,0.28343186494420075,Low Risk,735.48
CUST-00133,0.5934523568660027,Medium Risk,1099.8000000000002
CUST-02701,0.24482126054041686,Low Risk,946.44
CUST-02606,0.6129039113081525,Medium Risk,1214.04
CUST-00164,0.694789553675198,Medium Risk,623.28
CUST-00012,0.37048653994810654,Low Risk,1342.56
CUST-01760,0.5759907122460421,Medium Risk,597.84
CUST-02640,0.690211520554514,Medium Risk,1312.56
CUST-04304,0.2841790425685542,Low Risk,823.08
CUST-00826,0.6048813000353445,Medium Risk,1232.76
CUST-03263,0.5815695002121642,Medium Risk,216.0
CUST-02296,0.7992235060823483,High Risk,1050.3600000000001
CUST-00047,0.5519495601020299,Medium Risk,521.64
CUST-02652,0.6100857765752513,Medium Risk,568.2
CUST-00005,0.5522578725025399,Medium Risk,594.96
CUST-03739,0.319338093519144,Low Risk,865.8000000000001
CUST-01935,0.3971613228463669,Low Risk,882.24
CUST-04978,0.36713197284712334,Low Risk,929.04
CUST-03253,0.6432651403234536,Medium Risk,677.76
CUST-01557,0.6511125273644519,Medium Risk,1058.52
CUST-02866,0.5858088203101148,Medium Risk,458.76
CUST-03842,0.6128224889441836,Medium Risk,1138.1999999999998
CUST-04888,0.6385302628931527,Medium Risk,516.24
CUST-01209,0.26561207061191316,Low Risk,1036.32
CUST-01159,0.4095199283325786,Medium Risk,216.0
CUST-04523,0.3219680727902133,Low Risk,972.48
CUST-03323,0.6387789278935702,Medium Risk,657.36
CUST-03705,0.26499510099487783,Low Risk,1099.08
CUST-01739,0.3047067982620832,Low Risk,582.24
CUST-01941,0.25569934980244363,Low Risk,244.56
CUST-01856,0.31490556138904746,Low Risk,571.08
CUST-01415,0.3328556371128304,Low Risk,546.96
CUST-02564,0.6214551205269608,Medium Risk,447.72
CUST-03564,0.6291679139742157,Medium Risk,589.6800000000001
CUST-03026,0.06955216401774417,Low Risk,1000.6800000000001
CUST-00394,0.6975161327977827,Medium Risk,947.52
CUST-04218,0.1594052776834955,Low Risk,793.44
CUST-01755,0.26113963417136005,Low Risk,501.0
CUST-01651,0.18661766269282493,Low Risk,481.20000000000005
CUST-03808,0.7233540833348584,High Risk,785.1600000000001
CUST-04161,0.4986403917290487,Medium Risk,413.28
CUST-03933,0.4396510464183541,Medium Risk,1047.96
CUST-04845,0.5090742142047526,Medium Risk,549.48
CUST-00720,0.15464072135120824,Low Risk,711.36
CUST-03642,0.5400665428586874,Medium Risk,603.24
CUST-00864,0.5305098604207574,Medium Risk,658.4399999999999
CUST-02107,0.18185438865494405,Low Risk,691.3199999999999
CUST-02442,0.3663118798214583,Low Risk,893.8799999999999
CUST-03057,0.7523642353544352,High Risk,885.96
CUST-03067,0.21957120739792282,Low Risk,293.52
CUST-00384,0.33304241497814363,Low Risk,364.20000000000005
CUST-01083,0.1571094133888353,Low Risk,792.72
CUST-02334,0.7962075234430852,High Risk,1097.4
CUST-04695,0.35995402127333753,Low Risk,1440.0
CUST-02243,0.28247488026892165,Low Risk,504.96
CUST-01192,0.5666930815163718,Medium Risk,677.64
CUST-00818,0.5325974270877267,Medium Risk,872.76
CUST-02608,0.41455405490482977,Medium Risk,837.5999999999999
CUST-01777,0.655171976459966,Medium Risk,1184.28
CUST-03510,0.5582757083229363,Medium Risk,317.88
CUST-02195,0.6691200358536143,Medium Risk,505.56000000000006
CUST-00500,0.6221904539464723,Medium Risk,421.08000000000004
CUST-03420,0.31170237285398933,Low Risk,890.28
CUST-01296,0.5668796400552603,Medium Risk,503.28
CUST-02097,0.4233406298779606,Medium Risk,1284.84
CUST-01450,0.3459568991550294,Low Risk,687.24
CUST-03449,0.41316696199008063,Medium Risk,216.0
CUST-01546,0.39166498498133884,Low Risk,845.28
CUST-02999,0.2540841566490173,Low Risk,915.72
CUST-03379,0.41031316026375547,Medium Risk,961.92
CUST-00753,0.29303314575987316,Low Risk,437.40000000000003
CUST-00210,0.17381023058224843,Low Risk,701.4000000000001
CUST-01980,0.5919742628858665,Medium Risk,539.04
CUST-00889,0.6925414029437442,Medium Risk,807.36
CUST-01341,0.36496582222507296,Low Risk,267.84000000000003
CUST-01002,0.06101300519554633,Low Risk,917.76
CUST-02149,0.4141707366838206,Medium Risk,680.76
CUST-03860,0.35874310293949513,Low Risk,593.88
CUST-00921,0.15519834405790464,Low Risk,541.08
CUST-04696,0.7102801745324805,High Risk,885.5999999999999
CUST-04746,0.5068946595902408,Medium Risk,1200.0
CUST-03609,0.0866343626545323,Low Risk,581.28
CUST-00267,0.47734449734223944,Medium Risk,686.52
CUST-03900,0.6683145794169989,Medium Risk,1191.24
CUST-02784,0.13351544627865192,Low Risk,1440.0
CUST-04610,0.5798813559297923,Medium Risk,980.52
CUST-00519,0.49971638236338056,Medium Risk,1035.0
CUST-04994,0.6245507435639351,Medium Risk,392.28
CUST-04583,0.44592434431203987,Medium Risk,992.76
CUST-02910,0.32441310604163703,Low Risk,909.0
CUST-01059,0.15515476205007062,Low Risk,713.16
CUST-02074,0.37308330157951375,Low Risk,764.76
CUST-00129,0.20385478243261151,Low Risk,632.76
CUST-02325,0.2687886342538427,Low Risk,705.84
CUST-02717,0.1270974855180253,Low Risk,843.36
CUST-03130,0.29220823020316683,Low Risk,763.08
CUST-04211,0.171911095691798,Low Risk,795.48
CUST-03400,0.7528923575802865,High Risk,942.8399999999999
CUST-01516,0.2327025332356744,Low Risk,611.88
CUST-02938,0.27417167941861337,Low Risk,1319.04
CUST-03169,0.5173656859390817,Medium Risk,507.12
CUST-00581,0.19157581000275373,Low Risk,530.16
CUST-03504,0.35844719081346893,Low Risk,596.04
CUST-02087,0.29880188402815566,Low Risk,216.0
CUST-01511,0.23811304588945645,Low Risk,599.88
CUST-01190,0.47936228740531295,Medium Risk,257.4
CUST-03535,0.6879658854299163,Medium Risk,800.8799999999999
CUST-04898,0.4125635896663673,Medium Risk,976.8000000000001
CUST-01843,0.48950533379860445,Medium Risk,1240.68
CUST-02197,0.21921264238978078,Low Risk,1088.4
CUST-00910,0.6036659345290961,Medium Risk,549.12
CUST-01984,0.4909631199115278,Medium Risk,1363.08
CUST-04529,0.2618668329661554,Low Risk,763.6800000000001
CUST-01845,0.7325859438139698,High Risk,802.3199999999999
CUST-01230,0.21188028214108917,Low Risk,668.04
CUST-02578,0.35457584626499655,Low Risk,577.3199999999999
CUST-04259,0.6978928491316445,Medium Risk,1164.3600000000001
CUST-04686,0.788158320757669,High Risk,756.36
CUST-03820,0.6344817708972225,Medium Risk,509.28
CUST-02235,0.43995859827000006,Medium Risk,563.52
