customer_id,tenure_months,contract,internet_service,monthly_charges,total_charges,tech_support,online_security,paperless_billing,payment_method,num_support_calls,senior_citizen,partner,dependents,churn
CUST-00000,11,Month-to-month,Fiber optic,107.02,1304.73,No,Yes,Yes,Electronic check,1,0,No,No,1
CUST-00001,72,Month-to-month,Fiber optic,64.94,4941.04,Yes,No,Yes,Electronic check,2,1,No,Yes,0
CUST-00002,31,Two year,Fiber optic,44.55,1481.94,No,Yes,Yes,Electronic check,1,0,No,No,0
CUST-00003,21,Month-to-month,DSL,68.08,1376.07,No,Yes,No,Mailed check,1,1,Yes,No,0
CUST-00004,4,Two year,DSL,51.24,232.68,Yes,No,Yes,Credit card,2,0,No,Yes,0
CUST-00005,4,Month-to-month,No,49.58,252.0,Yes,Yes,Yes,Credit card,0,0,Yes,Yes,0
CUST-00006,1,One year,Fiber optic,75.83,152.64,No,Yes,Yes,Bank transfer,0,1,Yes,No,0
CUST-00007,48,Two year,DSL,24.91,1130.79,No,No,Yes,Credit card,1,0,No,No,0
CUST-00008,22,Month-to-month,DSL,28.9,666.48,Yes,No,No,Bank transfer,2,0,Yes,Yes,0
CUST-00009,29,Month-to-month,DSL,65.48,1772.52,No,No,Yes,Mailed check,2,0,No,Yes,0
CUST-00010,0,Month-to-month,No,64.44,64.1,No,No,Yes,Electronic check,0,0,No,No,0
CUST-00011,72,One year,DSL,73.59,5505.54,No,Yes,No,Bank transfer,1,0,No,No,0
CUST-00012,42,Month-to-month,No,111.88,4792.92,Yes,Yes,No,Electronic check,1,1,No,No,0
CUST-00013,5,One year,Fiber optic,67.61,369.07,No,No,No,Mailed check,2,0,Yes,No,1
CUST-00014,4,Month-to-month,DSL,79.95,419.2,Yes,No,No,Credit card,0,0,Yes,No,0
CUST-00015,4,Month-to-month,Fiber optic,40.61,193.59,No,Yes,Yes,Electronic check,0,0,Yes,No,0
CUST-00016,8,Month-to-month,Fiber optic,84.2,725.27,No,Yes,Yes,Electronic check,2,0,No,No,0
CUST-00017,17,Month-to-month,Fiber optic,51.84,851.67,Yes,Yes,No,Electronic check,3,0,No,Yes,0
CUST-00018,13,One year,Fiber optic,66.79,864.99,No,No,No,Bank transfer,3,0,Yes,No,1
CUST-00019,8,Two year,Fiber optic,62.28,527.27,Yes,Yes,No,Electronic check,0,0,Yes,Yes,0
CUST-00020,22,One year,Fiber optic,90.82,2130.39,No,No,No,Mailed check,2,0,No,No,1
CUST-00021,3,Month-to-month,Fiber optic,32.25,129.49,Yes,Yes,No,Electronic check,2,0,No,No,1
CUST-00022,8,Two year,No,18.0,159.98,No,No,Yes,Mailed check,0,0,No,No,0
CUST-00023,10,One year,Fiber optic,59.66,675.67,Yes,No,Yes,Electronic check,0,0,No,Yes,0
CUST-00024,14,Two year,DSL,76.71,1207.8,No,No,No,Credit card,1,0,No,No,0
CUST-00025,36,Month-to-month,Fiber optic,68.81,2438.32,No,No,No,Mailed check,0,0,Yes,No,1
CUST-00026,5,Month-to-month,No,95.81,551.11,No,No,No,Bank transfer,1,0,No,Yes,0
CUST-00027,17,Month-to-month,No,75.93,1380.97,Yes,Yes,No,Bank transfer,2,0,No,Yes,0
CUST-00028,21,One year,DSL,50.9,1116.05,No,Yes,Yes,Mailed check,0,1,No,Yes,1
CUST-00029,1,Month-to-month,DSL,18.0,32.47,Yes,No,Yes,Electronic check,2,0,Yes,No,0
CUST-00030,22,Month-to-month,Fiber optic,59.07,1356.32,No,No,Yes,Mailed check,2,0,Yes,Yes,0
CUST-00031,4,Month-to-month,No,90.7,457.1,No,No,No,Bank transfer,1,0,No,Yes,0
CUST-00032,1,One year,No,55.2,115.69,No,No,Yes,Mailed check,1,0,No,Yes,0
CUST-00033,71,One year,No,65.71,4674.42,No,No,Yes,Electronic check,2,0,No,No,0
CUST-00034,72,Month-to-month,DSL,75.53,5528.37,Yes,No,No,Electronic check,1,0,No,No,0
CUST-00035,39,Month-to-month,Fiber optic,39.62,1613.82,No,No,Yes,Electronic check,0,0,No,Yes,0
CUST-00036,8,One year,No,80.58,663.14,Yes,No,No,Electronic check,4,1,No,No,1
CUST-00037,2,Two year,Fiber optic,105.93,321.03,No,No,Yes,Credit card,1,0,No,No,1
CUST-00038,27,One year,DSL,60.68,1668.51,No,No,Yes,Electronic check,4,0,No,No,0
CUST-00039,13,Two year,Fiber optic,36.77,471.03,No,No,No,Mailed check,3,0,No,No,0
CUST-00040,3,One year,No,63.33,253.44,No,No,No,Bank transfer,2,0,No,No,0
CUST-00041,16,One year,Fiber optic,18.0,286.16,Yes,No,Yes,Credit card,2,0,Yes,No,0
CUST-00042,0,Month-to-month,Fiber optic,73.42,72.0,No,No,No,Mailed check,2,0,Yes,No,1
CUST-00043,57,One year,DSL,76.31,4169.91,Yes,Yes,Yes,Electronic check,0,0,Yes,No,0
CUST-00044,7,One year,DSL,106.89,783.02,No,No,Yes,Electronic check,2,0,No,No,1
CUST-00045,26,One year,DSL,60.15,1522.76,No,Yes,Yes,Mailed check,3,0,Yes,No,0
CUST-00046,8,Month-to-month,Fiber optic,75.21,653.75,Yes,No,No,Mailed check,1,0,Yes,No,0
CUST-00047,17,Month-to-month,Fiber optic,43.47,762.21,Yes,Yes,Yes,Electronic check,0,0,Yes,No,1
CUST-00048,18,Month-to-month,DSL,56.09,982.87,Yes,Yes,Yes,Electronic check,1,1,No,Yes,0
CUST-00049,4,Month-to-month,No,26.87,127.38,No,No,No,Credit card,1,0,Yes,No,0
CUST-00050,72,Month-to-month,No,60.13,4516.38,Yes,No,Yes,Electronic check,3,1,Yes,No,0
CUST-00051,35,Two year,DSL,57.37,2140.82,No,No,Yes,Mailed check,1,0,Yes,No,0
CUST-00052,67,Month-to-month,No,72.48,4831.43,No,Yes,Yes,Credit card,2,0,Yes,Yes,0
CUST-00053,54,Month-to-month,Fiber optic,49.41,2645.68,Yes,Yes,No,Bank transfer,2,0,No,Yes,0
CUST-00054,21,Month-to-month,DSL,67.08,1456.89,No,Yes,Yes,Mailed check,2,1,No,No,0
CUST-00055,61,One year,DSL,56.67,3275.27,No,No,No,Electronic check,1,0,No,No,0
CUST-00056,2,Month-to-month,Fiber optic,56.71,178.47,Yes,No,Yes,Credit card,1,0,No,Yes,1
CUST-00057,5,Month-to-month,DSL,67.01,406.8,No,No,Yes,Electronic check,2,0,No,No,1
CUST-00058,1,One year,DSL,66.01,123.55,Yes,No,No,Bank transfer,1,1,Yes,Yes,0
CUST-00059,9,Month-to-month,Fiber optic,84.03,790.57,Yes,No,Yes,Credit card,2,1,Yes,Yes,1
CUST-00060,11,Two year,Fiber optic,61.98,741.72,No,Yes,No,Electronic check,2,0,No,Yes,1
CUST-00061,7,Two year,Fiber optic,56.25,426.79,No,No,Yes,Bank transfer,2,0,No,Yes,0
